period,rgdp,ngdp,ii,ll,c,W,ae,te,y0,va0,i0,c0,l0,py0,ae0,te0,y1,va1,i1,c1,l1,py1,ae1,te1,y2,va2,i2,c2,l2,py2,ae2,te2,y3,va3,i3,c3,l3,py3,ae3,te3,y4,va4,i4,c4,l4,py4,ae4,te4,rer0,ex0,im0,nx0,rex0,rim0,taus0-0,exs0-0,ims0-0,nxs0-0,rexs0-0,rims0-0,exsm0-0,exsf0-0,imsm0-0,imsf0-0,aes0-0,tes0-0,expart0-0,taus1-0,exs1-0,ims1-0,nxs1-0,rexs1-0,rims1-0,exsm1-0,exsf1-0,imsm1-0,imsf1-0,aes1-0,tes1-0,expart1-0,taus2-0,exs2-0,ims2-0,nxs2-0,rexs2-0,rims2-0,exsm2-0,exsf2-0,imsm2-0,imsf2-0,aes2-0,tes2-0,expart2-0,taus3-0,exs3-0,ims3-0,nxs3-0,rexs3-0,rims3-0,exsm3-0,exsf3-0,imsm3-0,imsf3-0,aes3-0,tes3-0,expart3-0,taus4-0,exs4-0,ims4-0,nxs4-0,rexs4-0,rims4-0,exsm4-0,exsf4-0,imsm4-0,imsf4-0,aes4-0,tes4-0,expart4-0,rer1,ex1,im1,nx1,rex1,rim1,taus0-1,exs0-1,ims0-1,nxs0-1,rexs0-1,rims0-1,exsm0-1,exsf0-1,imsm0-1,imsf0-1,aes0-1,tes0-1,expart0-1,taus1-1,exs1-1,ims1-1,nxs1-1,rexs1-1,rims1-1,exsm1-1,exsf1-1,imsm1-1,imsf1-1,aes1-1,tes1-1,expart1-1,taus2-1,exs2-1,ims2-1,nxs2-1,rexs2-1,rims2-1,exsm2-1,exsf2-1,imsm2-1,imsf2-1,aes2-1,tes2-1,expart2-1,taus3-1,exs3-1,ims3-1,nxs3-1,rexs3-1,rims3-1,exsm3-1,exsf3-1,imsm3-1,imsf3-1,aes3-1,tes3-1,expart3-1,taus4-1,exs4-1,ims4-1,nxs4-1,rexs4-1,rims4-1,exsm4-1,exsf4-1,imsm4-1,imsf4-1,aes4-1,tes4-1,expart4-1,rer3,ex3,im3,nx3,rex3,rim3,taus0-3,exs0-3,ims0-3,nxs0-3,rexs0-3,rims0-3,exsm0-3,exsf0-3,imsm0-3,imsf0-3,aes0-3,tes0-3,expart0-3,taus1-3,exs1-3,ims1-3,nxs1-3,rexs1-3,rims1-3,exsm1-3,exsf1-3,imsm1-3,imsf1-3,aes1-3,tes1-3,expart1-3,taus2-3,exs2-3,ims2-3,nxs2-3,rexs2-3,rims2-3,exsm2-3,exsf2-3,imsm2-3,imsf2-3,aes2-3,tes2-3,expart2-3,taus3-3,exs3-3,ims3-3,nxs3-3,rexs3-3,rims3-3,exsm3-3,exsf3-3,imsm3-3,imsf3-3,aes3-3,tes3-3,expart3-3,taus4-3,exs4-3,ims4-3,nxs4-3,rexs4-3,rims4-3,exsm4-3,exsf4-3,imsm4-3,imsf4-3,aes4-3,tes4-3,expart4-3
0,7.0036473969401101,7.4953136061386019,1.5469943953143210,3.0549545842307073,2.8846140405051588,0.0562189921320807,0.2334826691039648,1.0832684279726239,0.3582627335455439,0.2213132424280029,0.0530794754034643,0.0792653147974673,0.0993995731035233,0.0000000000000000,1.0681259879256726,0.8492112214328197,1.0191599425363846,0.5436224790593449,0.1189533633141279,0.0635632275854963,0.2242873874676999,0.0000000000000000,0.5139587321440847,4.1514567247082041,0.8507270357650158,0.2521427202202403,0.0271031113150091,0.2240952491576935,0.0538271622694870,0.0000000000000000,0.2728461905680009,0.2805999552586776,2.9687812177542074,1.0007176362310501,0.1365485556997088,1.1118281850864138,0.2680883279686123,0.0000000000000000,0.1131747022690618,0.6452647039957163,7.0545538567482833,4.9858513190014726,1.2113098895820109,3.9643687014915496,2.3571083498419787,0.0000000000000000,0.4905398535669162,0.0000000000000000,0.9329883853902409,1.5914842493742094,1.0360153540075265,0.5554688953666829,1.4828426582459537,1.0203074741215887,0.2917806914124336,0.0595649750907619,0.0377165755516099,0.0218483995391520,0.0550155217405043,0.0370588944471354,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.1751946194650824,0.8524547481492972,0.2291817775559066,0.0017794708953063,0.2033011308952633,0.1449208963789834,0.0583802345162799,0.1898581240494160,0.1420304484937170,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.4757025799417379,4.1438995913665915,1.0000000000000000,0.0762201428779542,0.3631457098460820,0.1318700979234568,0.2312756119226252,0.3384773201807106,0.1295125088465366,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.3456538935843497,0.2798723753601408,0.2387236513697952,0.0365181893507182,0.8796917365433173,0.6840314605617634,0.1956602759815539,0.8194265698446452,0.6740907417485278,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-0.2507519315841918,0.6402565349307218,0.2376468072068545,0.0000000000000000,0.0857806969987849,0.0374763235917128,0.0483043734070722,0.0800651224306775,0.0376148805856721,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.4290056962863131,0.0000000000000000,0.2377968878874254,1.0333042857062162,0.1207980715913303,0.0505056388443413,0.0702924327469891,0.1126181021546234,0.0457791637133466,0.1328939245977738,0.0021692744123143,0.0064893763807052,-0.0043201019683909,0.0020060883841290,0.0058679816175493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000480088132131,0.8269238857870385,0.2507994285383466,0.0007948041956612,0.0098913990995297,0.0003281218460503,0.0095632772534794,0.0092373439783190,0.0003006288729444,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.2995981949018116,7.6221549414446619,1.0000000000000000,0.1221795280437833,0.0332132756549146,0.0044431259582739,0.0287701496966407,0.0309702720872277,0.0040515140090879,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.2703924543210229,0.3031906828146919,0.2459119211381029,0.0296963355886451,0.0696199405033496,0.0298589411862086,0.0397609993171410,0.0648886176794167,0.0270959108721291,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.5596859681208467,0.7665988016385161,0.2479394148692643,0.0000000000000000,0.0059041819212221,0.0093860734731033,-0.0034818915518811,0.0055157800255310,0.0084631283416358,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.4276184850365673,0.0000000000000000,0.2549719229353457,1.0780524742364044,0.5089129529663287,1.1447984919307268,-0.6358855389643981,0.4747897191993713,0.9908539186046706,0.0000000000000000,0.0130266050227141,0.0134145435697866,-0.0003879385470725,0.0120542861698854,0.0115887533517848,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6962595805941160,0.0000000000000000,0.2658714207921452,0.0000000000000000,0.1363163966537492,0.0237774979666821,0.1125388986870671,0.1273026629605429,0.0206303557549385,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7605112722498423,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0498927419231363,0.1340267070585843,-0.0841339651354480,0.0465440493745313,0.1161431533762231,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.1922038438893994,0.0000000000000000,0.2546123181201657,0.0000000000000000,0.2724989894565487,0.7701597746717440,-0.4976607852151953,0.2541414705398972,0.6666582810642883,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.4525490337452862,0.0000000000000000,0.2621679661945706,0.0000000000000000,0.0371782199101802,0.2034199686639298,-0.1662417487537495,0.0347472501545144,0.1758333750574360,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.5057706050506344,0.0000000000000000,0.2654305663718002
1,7.0065337871196345,7.3727792947364890,1.5448587048118032,3.0549545842307064,2.8829259486188334,0.0562121929795732,-0.1684291575634896,2.0339793289259829,0.3628947225545326,0.2241596263731951,0.0531355021308223,0.0789832689799206,0.1011736276218734,0.0000000000000000,1.9818392605325961,1.6203330086515619,1.0228934679966726,0.5456139509389225,0.1190764048464135,0.0636060191482435,0.2252725837181054,0.0000000000000000,1.2222248610451760,8.0403296461743512,0.8424488604669540,0.2496344505962093,0.0270316661229816,0.2232139368622259,0.0531040033347919,0.0000000000000000,0.4379976518213120,0.4689061482301622,2.9634914223136910,0.9988522886476709,0.1362441397243797,1.1089577676447111,0.2674821349891535,0.0000000000000000,-0.7351264388531388,1.1720393505645486,7.0579802432498306,4.9882734705636400,1.2093709919872062,3.9651962278571267,2.3586982321038641,0.0000000000000000,1.0228497376821528,0.0000000000000000,0.9475504560875145,1.5314354552111871,1.0276884118706036,0.5037470433405835,1.4463052159708070,1.0123083208913370,0.2917806914124336,0.0556806488914778,0.0313287104953223,0.0243519383961555,0.0520460219892139,0.0305762814653095,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.0831437144593745,1.6365586021380396,0.2159121237066051,0.0017794708953063,0.1962803644516734,0.1466847219193645,0.0495956425323089,0.1865163062996105,0.1438714527699032,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.1510440822520125,8.0465934567222988,1.0000000000000000,0.0762201428779542,0.3511606746167513,0.1302430107902115,0.2209176638265397,0.3312348384238629,0.1281070231284247,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.5044780098399972,0.4687151901605928,0.2343375360241037,0.0365181893507182,0.8458652819790025,0.6812074431635300,0.1646578388154725,0.7982849290206965,0.6713440919834073,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-2.5774112690142141,1.1718369753964355,0.2316443586442388,0.0000000000000000,0.0824484852722822,0.0382245255021756,0.0442239597701067,0.0782231202374233,0.0384094715442925,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.9024524837050382,0.0000000000000000,0.2318858072785669,1.0245093330272896,0.1186392409777517,0.0479063317051761,0.0707329092725756,0.1121310924385830,0.0444360875322028,0.1328939245977738,0.0021354611764311,0.0057299169160727,-0.0035944557396416,0.0020009827876425,0.0052971144338988,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.0056178577925214,1.5088416353115393,0.2536889806194885,0.0007948041956612,0.0097160735846273,0.0003181339428598,0.0093979396417674,0.0092327429786594,0.0002985923796289,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0281415805931859,5.1636044229962641,1.0000000000000000,0.1221795280437833,0.0325428871584678,0.0042403727177195,0.0283025144407483,0.0307193626065183,0.0039421942408856,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.4769800784579485,0.4748352313905741,0.2462284173592664,0.0296963355886451,0.0683677901894305,0.0285672749383587,0.0398005152510718,0.0645924676014661,0.0265379310168203,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.2853236029336361,1.1769423416755980,0.2491745890925960,0.0000000000000000,0.0058770288687949,0.0090506331901653,-0.0031736043213704,0.0055855364642967,0.0083602554609692,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0174932119125679,0.0000000000000000,0.2624487431364745,1.0659034489823398,0.5161442837871627,1.0910527354343462,-0.5749084516471835,0.4888958837256481,0.9696043273991301,0.0000000000000000,0.0131681377881986,0.0128878971146928,0.0002802406735058,0.0123546294600720,0.0114459900227388,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.5808702345547485,0.0000000000000000,0.2827997677926398,0.0000000000000000,0.1409339362265817,0.0219992828647048,0.1189346533618769,0.1339231119255383,0.0196094953317980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.6781306243293046,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0496599070515737,0.1292659907059989,-0.0796060836544253,0.0469157387546653,0.1150090839726632,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.3628913870628882,0.0000000000000000,0.2614359809688762,0.0000000000000000,0.2747333671426739,0.7347870043008933,-0.4600536371582194,0.2598904317163647,0.6531207599812283,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.9925952277135816,0.0000000000000000,0.2760532518636502,0.0000000000000000,0.0376489355781348,0.1921125604480566,-0.1544636248699218,0.0358119718690078,0.1704189980907016,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0471172148480006,0.0000000000000000,0.2828819081829031
2,7.0089153132365913,7.2954129416511710,1.5424116196809696,3.0549545842307082,2.8809636582060278,0.0562059136228081,5.6324543087742303,2.8730530089433493,0.3666238348303493,0.2264505306419056,0.0531521575527309,0.0787745518959801,0.1025771746196751,0.0000000000000000,2.7985738365554895,2.3277610228443146,1.0270502811135456,0.5478312055201386,0.1191599317026905,0.0635546894199011,0.2264076823424979,0.0000000000000000,2.1823264629022092,11.6211453617571934,0.8368272645759026,0.2479289700356776,0.0269636365014925,0.2225060222795237,0.0526345154034522,0.0000000000000000,0.5581481195137360,0.5956449073368011,2.9597280373934769,0.9975006937830355,0.1359162960359896,1.1065202511551444,0.2670971650426926,0.0000000000000000,7.7596030983914641,1.6130355919498511,7.0592963231044976,4.9892039132558335,1.2072195978880660,3.9649253781078686,2.3593456799401213,0.0000000000000000,1.5545878020623247,0.0000000000000000,0.9569970917128392,1.4918049833914315,1.0194599753912890,0.4723450080001426,1.4203131478107891,1.0042670702989502,0.2917806914124336,0.0527795000430233,0.0262800055351017,0.0264994945079216,0.0497098859138057,0.0255424389715066,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.8465407104767975,2.3570659226696113,0.2051904831434225,0.0017794708953063,0.1919072132147903,0.1479804898463015,0.0439267233684888,0.1841370210058109,0.1451703314008786,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.0885583874501239,11.6376927879107441,1.0000000000000000,0.0762201428779542,0.3440065572458066,0.1290995859935828,0.2149069712522239,0.3266929047292801,0.1269537127081481,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6000328049299029,0.5955750588017629,0.2313977361492923,0.0365181893507182,0.8228654083372328,0.6773333011023535,0.1455321072348793,0.7828312930900605,0.6676190347236318,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14.3050829514468383,1.6160223292603439,0.2268679933523768,0.0000000000000000,0.0802463045505782,0.0387665929139495,0.0414797116366286,0.0769420430718319,0.0389815524947850,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.4095750063764618,0.0000000000000000,0.2273312218019659,1.0193162610339559,0.1171355924773607,0.0461681116812962,0.0709674807960645,0.1116264390540133,0.0434108817445765,0.1328939245977738,0.0021100313816836,0.0051730342646244,-0.0030630028829407,0.0019941817188294,0.0048413979322573,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.8903203570440712,2.1263974468471063,0.2546136265536688,0.0007948041956612,0.0096061086628374,0.0003122162350100,0.0092938924278273,0.0092171638731121,0.0002970865603800,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.1703174030253054,4.0215543731391890,1.0000000000000000,0.1221795280437833,0.0321139877682315,0.0041232087746238,0.0279907789936077,0.0305266317983107,0.0038715241837769,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6145391493492186,0.5978136440328095,0.2460724403482105,0.0296963355886451,0.0674377307474762,0.0277273661422148,0.0397103646052613,0.0642490314786342,0.0261169639370335,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.9884628861724782,1.5406752000058661,0.2490789831783489,0.0000000000000000,0.0058677339171320,0.0088322862648231,-0.0029645523476911,0.0056394301851269,0.0082839091311288,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.6253140351238664,0.0000000000000000,0.2678552121699000,1.0561347155230298,0.5231977306870796,1.0551178295368240,-0.5319200988497443,0.5001451855764817,0.9555190912360197,0.0000000000000000,0.0132921055813470,0.0125676330504551,0.0007244725308918,0.0125851272722151,0.0113773031588512,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.5638866840008898,0.0000000000000000,0.2960944182529919,0.0000000000000000,0.1456987768636840,0.0206711519739046,0.1250276248897794,0.1397995327348200,0.0187829496346134,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.7795235325235303,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0494757856284066,0.1262381074511795,-0.0767623218227729,0.0470805584429515,0.1144783433491550,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.5096921170047971,0.0000000000000000,0.2656409578931245,0.0000000000000000,0.2766389208404734,0.7114642017050801,-0.4348252808646067,0.2640260875489453,0.6444537909073464,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.5640962822390694,0.0000000000000000,0.2865379909106087,0.0000000000000000,0.0380921417731686,0.1841767353562048,-0.1460845935830362,0.0366538795775498,0.1664267041860536,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.5801905095850952,0.0000000000000000,0.2973246336261559
3,7.0102526855655771,7.2410663938995352,1.5400474123287886,3.0549545842307104,2.8788756388368668,0.0562002712615366,3.0343391601896834,3.6204866462352463,0.3695383128710044,0.2282405805182764,0.0531504834366393,0.0786147298402016,0.1036457702474033,0.0000000000000000,3.5347322888591148,2.9748756362433362,1.0313404112817219,0.5501195717521425,0.1192314738806462,0.0634839410995349,0.2275981129727881,0.0000000000000000,3.4846187580177514,14.9368717933777084,0.8329247708542146,0.2467449728017844,0.0269026027343877,0.2219837463867342,0.0523279944525290,0.0000000000000000,0.6524974787108996,0.6815983003465895,2.9563482422801588,0.9962885147592897,0.1355990810312724,1.1044889998413963,0.2667754393028974,0.0000000000000000,3.5521797392660264,1.9847605793654894,7.0588074248265116,4.9888590457340776,1.2051637712458430,3.9637932714681927,2.3592093595313530,0.0000000000000000,2.0699503882876873,0.0000000000000000,0.9637027934917961,1.4636457089548840,1.0115431686822487,0.4521025402726353,1.4013082865872004,0.9966360242752209,0.2917806914124336,0.0505180036174168,0.0223219686467118,0.0281960349707051,0.0478391833576301,0.0216130835753897,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.4950704520418316,3.0172077780196700,0.1965624175486941,0.0017794708953063,0.1888886906737057,0.1489137855667043,0.0399749051070014,0.1823975856434820,0.1461023131544234,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.3913866869829148,14.9618203243818950,1.0000000000000000,0.0762201428779542,0.3393085301567715,0.1281539824080360,0.2111545477487355,0.3237626881408401,0.1260315923815703,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6678408334022247,0.6815570530329139,0.2293840484440722,0.0365181893507182,0.8062059453598225,0.6729988442167335,0.1332071011430890,0.7712629457379828,0.6635013861921193,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5.0165865278075987,1.9900108590248660,0.2230712520306027,0.0000000000000000,0.0787245391471674,0.0391545878440631,0.0395699513031043,0.0760458837072654,0.0393876489717181,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.9337918516747885,0.0000000000000000,0.2239212953695902,1.0160523757264355,0.1159653285347354,0.0449090659809645,0.0710562625537709,0.1111437046481705,0.0426106160378213,0.1328939245977738,0.0020894670513503,0.0047408779153290,-0.0026514108639787,0.0019871116609486,0.0044712424778217,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.6447780900435105,2.6839976090697015,0.2544197256188322,0.0007948041956612,0.0095229261392295,0.0003082341680362,0.0092146919711933,0.0091956735464759,0.0002959301566875,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.8428219771110022,3.4789792100038324,1.0000000000000000,0.1221795280437833,0.0318056912014869,0.0040477256601634,0.0277579655413236,0.0303807485899592,0.0038251053342981,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7047537984617969,0.6828789938175572,0.2456247091516638,0.0296963355886451,0.0666822713780312,0.0271322139560202,0.0395500574220109,0.0638987308595765,0.0257921615709623,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.6097917593263489,1.8575608110318849,0.2481729483128100,0.0000000000000000,0.0058649727646375,0.0086800142814156,-0.0028150415167781,0.0056814399912104,0.0082261764980517,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.1902623372197438,0.0000000000000000,0.2717697575447127,1.0484523646557402,0.5292276293907331,1.0304332637091267,-0.5012056343183936,0.5091204421196988,0.9464121711519196,0.0000000000000000,0.0133887531463751,0.0123700214530501,0.0010187316933250,0.0127616990767571,0.0113585513240231,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.6252354322834903,0.0000000000000000,0.3064382071443030,0.0000000000000000,0.1501689868262805,0.0196414650204054,0.1305275218058750,0.1450084731804132,0.0181051999643925,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.0732704913529298,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0492727690594141,0.1242451780872287,-0.0749724090278146,0.0471228618361234,0.1142890641854058,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.6336184491310459,0.0000000000000000,0.2678817942457999,0.0000000000000000,0.2779363688838046,0.6957405341443227,-0.4178041652605181,0.2669150518251168,0.6391775372014197,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.1519307119409445,0.0000000000000000,0.2941102720594890,0.0000000000000000,0.0384607514748590,0.1784360650041197,-0.1399753135292608,0.0373123562012882,0.1634818184766785,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.0914570660542786,0.0000000000000000,0.3091500111652754
4,7.0108671938722749,7.2022961162629366,1.5379798032100651,3.0549545842307086,2.8769263302062469,0.0561953281215912,3.1618658328647542,4.2906404947975751,0.3717900621649503,0.2296231881405458,0.0531426053046114,0.0784946364858932,0.1044427707871482,0.0000000000000000,4.2027002888081864,3.5661656905751924,1.0355711152686791,0.5523762399094800,0.1193068249503400,0.0634157761488483,0.2287797127736138,0.0000000000000000,5.2396908638401110,18.0156839500217423,0.8301458582205199,0.2459020322094387,0.0268508943077390,0.2216092050218106,0.0521273044541352,0.0000000000000000,0.7268726970689348,0.7401517259202746,2.9530216514495797,0.9951036552924171,0.1353120886434032,1.1028632099182030,0.2664705092809374,0.0000000000000000,3.4170661126033166,2.2997453684321609,7.0573954102513499,4.9878620783203935,1.2033673900039714,3.9623224147808722,2.3587222821445497,0.0000000000000000,2.5524971179734051,0.0000000000000000,0.9685050827380272,1.4430137857655545,1.0041707296781690,0.4388430560873855,1.3870422510560514,0.9896314424496425,0.2917806914124336,0.0487182411717522,0.0192001398182643,0.0295181013534880,0.0463182538715186,0.0185223134105097,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.0535220652863462,3.6213688287964949,0.1896190559473445,0.0017794708953063,0.1867213767248724,0.1495944050520964,0.0371269716727760,0.1810902528487997,0.1467880750330559,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5.1905273842247492,18.0479144487521523,1.0000000000000000,0.0762201428779542,0.3361100693342094,0.1273709306311532,0.2087391387030562,0.3218189377194250,0.1253057353781191,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7187891554036212,0.7401258124868891,0.2280108341721341,0.0365181893507182,0.7938013837227920,0.6685776796254786,0.1252237040973133,0.7623977399279336,0.6593441640159102,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.1221457992550530,2.3067227363277851,0.2200839375838238,0.0000000000000000,0.0776627148119284,0.0394275745511763,0.0382351402607521,0.0754170666883747,0.0396711546120475,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.4470696222802584,0.0000000000000000,0.2214610562243538,1.0139356771344492,0.1150346226684056,0.0439656048534946,0.0710690178149110,0.1106993894559294,0.0419741115853457,0.1328939245977738,0.0020729031549899,0.0043960443320095,-0.0023231411770196,0.0019805179713052,0.0041662892065985,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.2795370417549456,3.1868468263314087,0.2537345956214704,0.0007948041956612,0.0094566316293126,0.0003054379070483,0.0091511937222643,0.0091714395153239,0.0002950065335046,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6.0830245052423129,3.2134660438997820,1.0000000000000000,0.1221795280437833,0.0315792811204069,0.0039970399415025,0.0275822411789044,0.0302707025591510,0.0037942145413468,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7638923613284466,0.7409563156496330,0.2451042538417020,0.0296963355886451,0.0660598856939596,0.0266958042611373,0.0393640814328223,0.0635623678732280,0.0255366685920835,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.1274962959693182,2.1307030245035490,0.2469114828164248,0.0000000000000000,0.0058659210697366,0.0085712784117970,-0.0027053573420604,0.0057143615369213,0.0081819327118124,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.6811587647175119,0.0000000000000000,0.2746983101874487,1.0424982162795984,0.5343155306125081,1.0135190636284475,-0.4792035330159393,0.5163195216850861,0.9407432089147083,0.0000000000000000,0.0134635812186221,0.0122547592058290,0.0012088220127931,0.0128973396443455,0.0113728093555487,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.7308548840844118,0.0000000000000000,0.3145249730863550,0.0000000000000000,0.1542894051806947,0.0188271314029721,0.1354622737777226,0.1496363613322754,0.0175414426275147,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5.5410277882833068,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0490696817613882,0.1229228941069112,-0.0738532123455230,0.0470980984888501,0.1142821366374809,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.7345137887014969,0.0000000000000000,0.2688813927953080,0.0000000000000000,0.2787331024483167,0.6852561327068833,-0.4065230302585666,0.2688649319551447,0.6362365498298250,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.7362208239529351,0.0000000000000000,0.2994068921321316,0.0000000000000000,0.0387597600034864,0.1742581462058517,-0.1354983862023653,0.0378227902644703,0.1613102704643389,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.5674815129673907,0.0000000000000000,0.3188102215006237
