country,partner,hs_code,imports
CAN,WLD,10111,2385098
CAN,WLD,10119,56047457
CAN,WLD,10120,147126
CAN,WLD,10210,6312972
CAN,WLD,10290,15873646
CAN,WLD,10310,429352
CAN,WLD,10391,695358
CAN,WLD,10392,257675
CAN,WLD,10410,1986971
CAN,WLD,10420,102928
CAN,WLD,10511,37020567
CAN,WLD,10512,6663977
CAN,WLD,10519,687085
CAN,WLD,10592,1263143
CAN,WLD,10599,83878
CAN,WLD,10600,61301214
CAN,WLD,20120,103910317
CAN,WLD,20130,670202482
CAN,WLD,20220,3932953
CAN,WLD,20230,316588256
CAN,WLD,20311,27226
CAN,WLD,20312,4067420
CAN,WLD,20319,410406495
CAN,WLD,20321,4923
CAN,WLD,20322,676269
CAN,WLD,20329,94150615
CAN,WLD,20410,104659
CAN,WLD,20421,4036
CAN,WLD,20422,48266235
CAN,WLD,20423,15929793
CAN,WLD,20430,578315
CAN,WLD,20441,324589
CAN,WLD,20442,51118696
CAN,WLD,20443,33711262
CAN,WLD,20450,11246285
CAN,WLD,20500,4847
CAN,WLD,20610,851407
CAN,WLD,20621,90204
CAN,WLD,20622,1589864
CAN,WLD,20629,21658108
CAN,WLD,20630,4224946
CAN,WLD,20641,13855
CAN,WLD,20649,10709042
CAN,WLD,20680,72587
CAN,WLD,20690,719457
CAN,WLD,20711,1383042
CAN,WLD,20712,661184
CAN,WLD,20713,329917045
CAN,WLD,20714,85014477
CAN,WLD,20724,837291
CAN,WLD,20725,676
CAN,WLD,20726,3125057
CAN,WLD,20727,5901040
CAN,WLD,20732,2591
CAN,WLD,20733,2118661
CAN,WLD,20734,176924
CAN,WLD,20735,53983
CAN,WLD,20736,7179083
CAN,WLD,20810,832841
CAN,WLD,20890,8019599
CAN,WLD,20900,444418
CAN,WLD,21011,32356921
CAN,WLD,21012,29055661
CAN,WLD,21019,31628619
CAN,WLD,21020,152329
CAN,WLD,21090,2419058
CAN,WLD,30110,8252558
CAN,WLD,30191,689618
CAN,WLD,30192,9218819
CAN,WLD,30193,159946
CAN,WLD,30199,19467723
CAN,WLD,30211,2723108
CAN,WLD,30212,91662224
CAN,WLD,30219,4021189
CAN,WLD,30221,18912168
CAN,WLD,30222,41667
CAN,WLD,30223,211811
CAN,WLD,30229,6006945
CAN,WLD,30231,102626
CAN,WLD,30232,8418351
CAN,WLD,30233,23825
CAN,WLD,30239,5841026
CAN,WLD,30240,4688222
CAN,WLD,30250,4752982
CAN,WLD,30261,159143
CAN,WLD,30262,934481
CAN,WLD,30263,524963
CAN,WLD,30264,1626641
CAN,WLD,30265,594779
CAN,WLD,30266,492421
CAN,WLD,30269,61785374
CAN,WLD,30270,1029247
CAN,WLD,30310,26400431
CAN,WLD,30321,2260556
CAN,WLD,30322,79198
CAN,WLD,30329,90650
CAN,WLD,30331,9565702
CAN,WLD,30332,80489
CAN,WLD,30333,479659
CAN,WLD,30339,408448
CAN,WLD,30341,12249329
CAN,WLD,30342,1000131
CAN,WLD,30343,469641
CAN,WLD,30349,8109935
CAN,WLD,30350,6529225
CAN,WLD,30360,9488701
CAN,WLD,30371,2053595
CAN,WLD,30372,3437555
CAN,WLD,30373,49615
CAN,WLD,30374,9431893
CAN,WLD,30375,350379
CAN,WLD,30376,753084
CAN,WLD,30377,126938
CAN,WLD,30378,859160
CAN,WLD,30379,51240299
CAN,WLD,30380,2265435
CAN,WLD,30410,199536058
CAN,WLD,30420,296684640
CAN,WLD,30490,121933909
CAN,WLD,30510,1274254
CAN,WLD,30520,466034
CAN,WLD,30530,11789009
CAN,WLD,30541,7036431
CAN,WLD,30542,191397
CAN,WLD,30549,20274309
CAN,WLD,30551,3161136
CAN,WLD,30559,10789152
CAN,WLD,30561,734509
CAN,WLD,30562,6814794
CAN,WLD,30563,54546
CAN,WLD,30569,10085537
CAN,WLD,30611,11080733
CAN,WLD,30612,14582687
CAN,WLD,30613,415815129
CAN,WLD,30614,47134211
CAN,WLD,30619,15450379
CAN,WLD,30621,236881
CAN,WLD,30622,307238801
CAN,WLD,30623,6738544
CAN,WLD,30624,58652889
CAN,WLD,30629,56321
CAN,WLD,30710,15288334
CAN,WLD,30721,14669961
CAN,WLD,30729,75663279
CAN,WLD,30731,665399
CAN,WLD,30739,8293569
CAN,WLD,30741,237629
CAN,WLD,30749,50647929
CAN,WLD,30751,450571
CAN,WLD,30759,6155661
CAN,WLD,30760,217325
CAN,WLD,30791,9072659
CAN,WLD,30799,17067353
CAN,WLD,40110,311331
CAN,WLD,40120,22006821
CAN,WLD,40130,4181260
CAN,WLD,40210,12813459
CAN,WLD,40221,5588652
CAN,WLD,40229,5216
CAN,WLD,40291,1651282
CAN,WLD,40299,89185
CAN,WLD,40310,2853764
CAN,WLD,40390,655173
CAN,WLD,40410,95769274
CAN,WLD,40490,33605906
CAN,WLD,40510,36260150
CAN,WLD,40520,4601
CAN,WLD,40590,7661446
CAN,WLD,40610,3665929
CAN,WLD,40620,16412679
CAN,WLD,40630,9608090
CAN,WLD,40640,13446736
CAN,WLD,40690,226986976
CAN,WLD,40700,125939214
CAN,WLD,40811,931420
CAN,WLD,40819,438204
CAN,WLD,40891,8402836
CAN,WLD,40899,4845919
CAN,WLD,40900,29129280
CAN,WLD,41000,4035465
CAN,WLD,50100,70714
CAN,WLD,50210,76909
CAN,WLD,50290,5735
CAN,WLD,50400,20619487
CAN,WLD,50510,21920686
CAN,WLD,50590,4841910
CAN,WLD,50610,29099
CAN,WLD,50690,983016
CAN,WLD,50710,117
CAN,WLD,50790,2533209
CAN,WLD,50800,1988680
CAN,WLD,51000,5710798
CAN,WLD,51110,9939955
CAN,WLD,51191,22572283
CAN,WLD,51199,55380605
CAN,WLD,60110,43285995
CAN,WLD,60120,3054958
CAN,WLD,60210,27448898
CAN,WLD,60220,15026541
CAN,WLD,60230,4130535
CAN,WLD,60240,2192436
CAN,WLD,60290,136533443
CAN,WLD,60310,139871172
CAN,WLD,60390,1486769
CAN,WLD,60491,24205206
CAN,WLD,60499,5940822
CAN,WLD,70110,2517455
CAN,WLD,70190,85817473
CAN,WLD,70200,322668026
CAN,WLD,70310,144753943
CAN,WLD,70320,33355389
CAN,WLD,70390,10848044
CAN,WLD,70410,95851074
CAN,WLD,70420,17435166
CAN,WLD,70490,254626765
CAN,WLD,70511,74896909
CAN,WLD,70519,325275891
CAN,WLD,70521,700345
CAN,WLD,70529,5868862
CAN,WLD,70610,114690611
CAN,WLD,70690,22890983
CAN,WLD,70700,68367819
CAN,WLD,70810,55339710
CAN,WLD,70820,62878051
CAN,WLD,70890,923252
CAN,WLD,70910,2943758
CAN,WLD,70920,83310116
CAN,WLD,70930,26819754
CAN,WLD,70940,59836711
CAN,WLD,70951,27791407
CAN,WLD,70960,242174023
CAN,WLD,70970,108741861
CAN,WLD,70990,194533298
CAN,WLD,71010,1414426
CAN,WLD,71021,9135994
CAN,WLD,71022,8439342
CAN,WLD,71029,1333063
CAN,WLD,71030,10022427
CAN,WLD,71040,7410427
CAN,WLD,71080,55611005
CAN,WLD,71090,15309957
CAN,WLD,71120,3651592
CAN,WLD,71140,415119
CAN,WLD,71190,2126297
CAN,WLD,71220,15462206
CAN,WLD,71230,9701714
CAN,WLD,71290,69325017
CAN,WLD,71310,17160411
CAN,WLD,71320,6877393
CAN,WLD,71331,15744088
CAN,WLD,71332,2741995
CAN,WLD,71333,43057892
CAN,WLD,71339,27067593
CAN,WLD,71340,9619108
CAN,WLD,71350,4030390
CAN,WLD,71390,5753923
CAN,WLD,71410,3664802
CAN,WLD,71420,42549321
CAN,WLD,71490,35035514
CAN,WLD,80111,28117209
CAN,WLD,80119,5339292
CAN,WLD,80121,473658
CAN,WLD,80122,6088723
CAN,WLD,80131,844411
CAN,WLD,80132,81432229
CAN,WLD,80211,3615879
CAN,WLD,80212,210762833
CAN,WLD,80221,37742294
CAN,WLD,80222,78079645
CAN,WLD,80231,4726738
CAN,WLD,80232,91174704
CAN,WLD,80240,5479164
CAN,WLD,80250,25466774
CAN,WLD,80290,76910020
CAN,WLD,80300,427016757
CAN,WLD,80410,33791387
CAN,WLD,80420,21612433
CAN,WLD,80430,110921074
CAN,WLD,80440,160935228
CAN,WLD,80450,88832121
CAN,WLD,80510,195821974
CAN,WLD,80520,181402176
CAN,WLD,80530,116737782
CAN,WLD,80540,33521012
CAN,WLD,80590,3482244
CAN,WLD,80610,427399143
CAN,WLD,80620,72626735
CAN,WLD,80711,114164743
CAN,WLD,80719,107305950
CAN,WLD,80720,23477069
CAN,WLD,80810,250239816
CAN,WLD,80820,99858238
CAN,WLD,80910,10831982
CAN,WLD,80920,131685312
CAN,WLD,80930,86146919
CAN,WLD,80940,38536747
CAN,WLD,81010,342996050
CAN,WLD,81020,279068371
CAN,WLD,81030,106539
CAN,WLD,81040,186031760
CAN,WLD,81050,37627970
CAN,WLD,81090,71082525
CAN,WLD,81110,46622934
CAN,WLD,81120,43218051
CAN,WLD,81190,132208530
CAN,WLD,81210,3748032
CAN,WLD,81290,1855309
CAN,WLD,81310,11916816
CAN,WLD,81320,18906573
CAN,WLD,81330,8597448
CAN,WLD,81340,23817745
CAN,WLD,81350,5900570
CAN,WLD,81400,1985522
CAN,WLD,90111,645436089
CAN,WLD,90112,11746065
CAN,WLD,90121,614889035
CAN,WLD,90122,30911533
CAN,WLD,90190,1818305
CAN,WLD,90210,32142423
CAN,WLD,90220,10579715
CAN,WLD,90230,78310616
CAN,WLD,90240,26730234
CAN,WLD,90300,1351291
CAN,WLD,90411,28538782
CAN,WLD,90412,25898269
CAN,WLD,90420,24018688
CAN,WLD,90500,22390144
CAN,WLD,90610,1901240
CAN,WLD,90620,5217066
CAN,WLD,90700,2907810
CAN,WLD,90810,4096215
CAN,WLD,90820,829239
CAN,WLD,90830,2239031
CAN,WLD,90910,2263106
CAN,WLD,90920,1648104
CAN,WLD,90930,3854647
CAN,WLD,91010,35760526
CAN,WLD,91020,1765746
CAN,WLD,91030,2155870
CAN,WLD,91091,12706369
CAN,WLD,91099,18681240
CAN,WLD,100110,3740890
CAN,WLD,100190,28459322
CAN,WLD,100200,30503
CAN,WLD,100300,7062060
CAN,WLD,100400,6415509
CAN,WLD,100510,228168656
CAN,WLD,100590,182630632
CAN,WLD,100610,214371
CAN,WLD,100620,50339948
CAN,WLD,100630,283058273
CAN,WLD,100640,20083241
CAN,WLD,100700,1956026
CAN,WLD,100810,470313
CAN,WLD,100820,6079459
CAN,WLD,100830,36894
CAN,WLD,100890,64502765
CAN,WLD,110100,46093085
CAN,WLD,110220,17129853
CAN,WLD,110290,19813097
CAN,WLD,110311,8912219
CAN,WLD,110313,10594305
CAN,WLD,110319,6889587
CAN,WLD,110321,253368
CAN,WLD,110412,6799090
CAN,WLD,110419,4107046
CAN,WLD,110422,2765785
CAN,WLD,110423,10326356
CAN,WLD,110429,4591600
CAN,WLD,110430,1435793
CAN,WLD,110510,4015232
CAN,WLD,110520,5298323
CAN,WLD,110610,3441521
CAN,WLD,110620,5543565
CAN,WLD,110630,8514473
CAN,WLD,110710,52458856
CAN,WLD,110720,9393454
CAN,WLD,110811,705584
CAN,WLD,110812,26646547
CAN,WLD,110813,6903730
CAN,WLD,110814,3515582
CAN,WLD,110819,4476439
CAN,WLD,110820,8373502
CAN,WLD,110900,21769059
CAN,WLD,120100,191454902
CAN,WLD,120210,7902424
CAN,WLD,120220,109119318
CAN,WLD,120300,99
CAN,WLD,120400,11678210
CAN,WLD,120500,110542010
CAN,WLD,120600,31902614
CAN,WLD,120710,65599
CAN,WLD,120720,2113153
CAN,WLD,120730,85923
CAN,WLD,120740,21895307
CAN,WLD,120750,1371427
CAN,WLD,120760,950593
CAN,WLD,120791,2552988
CAN,WLD,120799,26478877
CAN,WLD,120810,20180719
CAN,WLD,120890,3686247
CAN,WLD,120911,6140267
CAN,WLD,120921,9479005
CAN,WLD,120922,3778350
CAN,WLD,120923,11207521
CAN,WLD,120924,11899892
CAN,WLD,120925,14745632
CAN,WLD,120929,8565458
CAN,WLD,120930,15325838
CAN,WLD,120991,85155885
CAN,WLD,120999,2710807
CAN,WLD,121010,466965
CAN,WLD,121020,16613113
CAN,WLD,121120,17951191
CAN,WLD,121190,72687317
CAN,WLD,121210,48919
CAN,WLD,121220,9281761
CAN,WLD,121291,19
CAN,WLD,121292,636970
CAN,WLD,121299,12698006
CAN,WLD,121300,5549692
CAN,WLD,121410,138151
CAN,WLD,121490,7415285
CAN,WLD,130120,3556087
CAN,WLD,130190,3710650
CAN,WLD,130211,49018
CAN,WLD,130212,1361479
CAN,WLD,130213,1111210
CAN,WLD,130219,51754616
CAN,WLD,130220,17687807
CAN,WLD,130231,2862550
CAN,WLD,130232,83244358
CAN,WLD,130239,22582294
CAN,WLD,140110,1777865
CAN,WLD,140120,16473
CAN,WLD,140190,223363
CAN,WLD,140420,54989
CAN,WLD,140490,9766369
CAN,WLD,150100,13171882
CAN,WLD,150200,21813269
CAN,WLD,150300,81264
CAN,WLD,150410,3594437
CAN,WLD,150420,106291107
CAN,WLD,150430,491942
CAN,WLD,150590,4171661
CAN,WLD,150600,1169881
CAN,WLD,150710,11351980
CAN,WLD,150790,21992404
CAN,WLD,150810,404396
CAN,WLD,150890,3984457
CAN,WLD,150910,142339746
CAN,WLD,150990,32258851
CAN,WLD,151000,3342147
CAN,WLD,151110,37364
CAN,WLD,151190,89566295
CAN,WLD,151211,2774813
CAN,WLD,151219,32902416
CAN,WLD,151221,9676
CAN,WLD,151229,10532970
CAN,WLD,151311,5153825
CAN,WLD,151319,57831889
CAN,WLD,151321,98266
CAN,WLD,151329,10494087
CAN,WLD,151410,44468623
CAN,WLD,151490,40857255
CAN,WLD,151511,1742606
CAN,WLD,151519,2535848
CAN,WLD,151521,1147623
CAN,WLD,151529,11724311
CAN,WLD,151530,7369789
CAN,WLD,151550,12771923
CAN,WLD,151590,40585495
CAN,WLD,151610,2668672
CAN,WLD,151620,80034063
CAN,WLD,151710,5503451
CAN,WLD,151790,157899392
CAN,WLD,151800,17152811
CAN,WLD,152000,
CAN,WLD,152110,2708423
CAN,WLD,152190,3225097
CAN,WLD,152200,1824663
CAN,WLD,160100,197067400
CAN,WLD,160210,456345
CAN,WLD,160220,1742309
CAN,WLD,160231,14327547
CAN,WLD,160232,192585492
CAN,WLD,160239,3020158
CAN,WLD,160241,47962475
CAN,WLD,160242,11613386
CAN,WLD,160249,276247998
CAN,WLD,160250,211569647
CAN,WLD,160290,1330576
