country,partner,hs_code,imports
MEX,WLD,30495,21213
MEX,WLD,30539,118229
MEX,WLD,30559,1079974
MEX,WLD,30612,950841
MEX,WLD,30622,849183
CAN,WLD,30559,6403259
USA,WLD,30559,19017768
CAN,WLD,30612,14582687
USA,WLD,30612,490712162
CAN,WLD,30622,307238801
USA,WLD,30622,361665810
CAN,WLD,30711,13041695
USA,WLD,30711,25069165
CAN,WLD,30771,5371535
USA,WLD,30771,20960069
CAN,WLD,30811,963141
USA,WLD,30811,2653816
CAN,WLD,40510,36260150
USA,WLD,40510,71169173
CAN,WLD,40640,13446736
USA,WLD,40640,45778328
CAN,WLD,40891,8402836
USA,WLD,40891,51958
CAN,WLD,60240,2192436
USA,WLD,60240,12336226
CAN,WLD,60420,24205206
CAN,MEX,30811,20
USA,MEX,40510,400756
CAN,MEX,60420,637827
USA,MEX,60420,2216175
CAN,MEX,70200,210546391
USA,MEX,70200,1741305266
CAN,MEX,70420,8121303
USA,MEX,70420,20833614
CAN,MEX,70700,51120811
USA,MEX,70700,488932801
CAN,MEX,70930,10428026
USA,MEX,70930,49826459
CAN,MEX,70992,2924
USA,MEX,70992,2460725
CAN,MEX,71090,4165522
USA,MEX,71090,58363066
CAN,MEX,71450,166007
USA,MEX,71450,512218
CAN,MEX,80241,483
CAN,MEX,80610,38692508
USA,MEX,80610,359449548
CAN,MEX,80810,8163
CAN,MEX,81020,132713767
USA,MEX,81020,601939949
CAN,MEX,90112,4117842
USA,MEX,90112,42705775
CAN,MEX,90230,4870
CAN,CAN,90962,44
CAN,USA,90962,123562
CAN,CAN,100119,18428
CAN,USA,100119,1495320
USA,CAN,100119,259779684
CAN,USA,100310,74649
USA,CAN,100310,3312590
MEX,USA,40891,13693922
MEX,USA,60420,22523095
MEX,USA,70200,32800151
MEX,USA,70420,87481
MEX,USA,70930,355592
MEX,CAN,71010,4871
MEX,USA,71010,329005
MEX,CAN,71090,5
MEX,USA,71090,723704
MEX,USA,71332,2
MEX,USA,80241,22719
MEX,USA,80610,94508914
MEX,CAN,80810,1002003
MEX,USA,80810,270311678
MEX,USA,81020,1280415
MEX,USA,90112,1406485
MEX,CAN,90230,274793
MEX,USA,90230,1050797
MEX,USA,90421,9708
MEX,USA,90720,3766
MEX,USA,90832,8968
MEX,CAN,90962,402
MEX,USA,90962,3939
MEX,USA,100119,305878
MEX,CAN,100310,75
MEX,USA,100310,13336
MEX,USA,100590,2348660588
MEX,USA,100821,24750
MEX,USA,110311,28887
MEX,USA,110814,5882
MEX,USA,120241,2182686
MEX,CAN,120510,681897972
MEX,USA,120510,27763757
MEX,CAN,10310,3223252
MEX,USA,10310,2354699
MEX,CAN,10619,1048
CAN,CAN,100590,24189
CAN,USA,100590,168312179
USA,CAN,100590,71358037
CAN,USA,100821,311258
USA,CAN,100821,123881
CAN,USA,110311,8325884
USA,CAN,110311,19594186
CAN,USA,110814,38720
CAN,USA,120241,6977289
CAN,CAN,120510,650033
CAN,USA,120510,85737011
USA,MEX,90230,6126
CAN,MEX,90421,366768
USA,MEX,90421,37056687
CAN,MEX,90720,48
CAN,MEX,90832,143
CAN,MEX,90962,229
USA,MEX,100119,120438
CAN,MEX,100590,78741
USA,MEX,100590,20629891
USA,MEX,110311,139608
CAN,MEX,110814,23
USA,CAN,120510,444706264
CAN,USA,120729,432349
CAN,USA,10310,411362
USA,CAN,10310,61069
CAN,USA,10392,257675
USA,CAN,10392,194995136
CAN,USA,10613,120567
CAN,CAN,10619,904
CAN,USA,10619,16022475
USA,CAN,10619,7537105
CAN,USA,20130,651525398
USA,CAN,20130,934809878
CAN,USA,20230,36431644
USA,WLD,60420,78580866
CAN,WLD,70200,322668026
USA,WLD,70200,2055035765
CAN,WLD,70420,17435166
USA,WLD,70420,23573346
MEX,WLD,30711,29367
MEX,WLD,30771,977
MEX,WLD,40510,12601312
MEX,WLD,40640,4485038
MEX,WLD,40891,13693922
MEX,WLD,60240,87798
MEX,WLD,60420,22533758
CAN,WLD,70700,68367819
USA,WLD,70700,677179694
CAN,WLD,70930,26819754
USA,WLD,70930,67476272
CAN,WLD,70992,477005
USA,WLD,70992,2595059
CAN,WLD,71010,1414426
USA,WLD,71010,1608826
CAN,WLD,71090,15309957
USA,WLD,71090,105159571
CAN,WLD,71332,2741995
USA,WLD,71332,7316105
CAN,WLD,71360,484790
USA,WLD,71360,3437147
CAN,WLD,71450,221780
USA,WLD,71450,6513227
CAN,WLD,80241,5407715
USA,WLD,80241,10745829
CAN,WLD,80280,68130
USA,WLD,80280,2823116
CAN,WLD,80610,427399143
USA,WLD,80610,1349047470
CAN,WLD,80810,250239816
USA,WLD,80810,283752414
CAN,WLD,81020,279068371
USA,WLD,81020,619760766
CAN,WLD,90112,11746065
USA,WLD,90112,459806816
CAN,WLD,90230,78310616
USA,WLD,90230,124201781
CAN,WLD,90421,4963313
USA,WLD,90421,138331514
CAN,WLD,90720,952352
USA,WLD,90720,1126064
CAN,WLD,90832,272531
USA,WLD,90832,586802
CAN,WLD,90962,263272
USA,WLD,90962,4071290
CAN,WLD,100119,3496403
USA,WLD,100119,261091589
CAN,WLD,100310,77562
USA,WLD,100310,3335796
CAN,WLD,100590,182630632
USA,WLD,100590,172711317
CAN,WLD,100821,427256
USA,WLD,100821,782908
CAN,WLD,110311,8912219
USA,WLD,110311,27489917
CAN,WLD,110814,3515582
MEX,WLD,70200,32800151
MEX,WLD,70420,87481
MEX,WLD,70930,355592
MEX,WLD,71010,337038
MEX,WLD,71090,751937
MEX,WLD,71332,2
MEX,WLD,80241,22719
MEX,WLD,80610,135379577
MEX,WLD,80810,277467258
MEX,WLD,81020,1280415
MEX,WLD,90112,1756068
MEX,WLD,90230,3006112
MEX,WLD,90421,48191613
MEX,WLD,90720,36346
MEX,WLD,90832,9217
MEX,WLD,90962,14936
MEX,WLD,100119,305878
MEX,WLD,100310,13549
MEX,WLD,100590,2349668665
MEX,WLD,100821,24750
MEX,WLD,110311,41452
MEX,WLD,110814,1826876
MEX,WLD,120241,8542353
MEX,WLD,120510,709662335
MEX,WLD,10310,5577951
USA,WLD,110814,52797649
CAN,WLD,120241,7796177
USA,WLD,120241,20086
CAN,WLD,120510,105519130
USA,WLD,120510,448501553
CAN,WLD,120729,432620
USA,WLD,120729,57356154
CAN,WLD,120929,8565458
CAN,WLD,10310,429352
USA,WLD,10310,77000
CAN,WLD,10392,257675
USA,WLD,10392,195187898
CAN,WLD,10613,120567
CAN,WLD,10619,18476303
USA,CAN,20230,51945811
CAN,USA,20430,2
CAN,USA,20442,11891
USA,CAN,20442,28331
CAN,USA,20712,661125
MEX,USA,10619,5354422
MEX,CAN,20130,115240886
MEX,USA,20130,767409796
MEX,CAN,20230,1874832
MEX,USA,20230,24715094
MEX,CAN,20442,12720
MEX,USA,20442,4353110
MEX,USA,20712,1333184
MEX,CAN,10229,4954098
MEX,USA,10229,43830259
MEX,CAN,10620,6832
MEX,USA,10620,476752
MEX,CAN,20120,1367604
MEX,USA,20120,26593841
MEX,USA,20311,11382515
USA,CAN,20712,2055767
CAN,USA,20760,224146
USA,CAN,20760,40235
CAN,USA,21020,115989
USA,CAN,21020,658761
CAN,CAN,30213,20723
CAN,USA,30213,21993149
USA,CAN,30213,76349542
CAN,CAN,30219,17918
CAN,CAN,120929,199171
CAN,USA,120929,7644312
USA,CAN,120929,17900050
CAN,USA,121294,10214
CAN,CAN,10229,2506
CAN,USA,10229,15767516
USA,CAN,10229,1747709223
CAN,USA,10599,83878
USA,CAN,10599,6641746
CAN,CAN,10620,142
CAN,USA,10620,727505
USA,CAN,10620,144782
CAN,USA,20120,100800198
USA,CAN,20120,83421538
CAN,USA,20311,27226
CAN,USA,20410,17046
CAN,USA,20649,9153627
USA,CAN,20649,21918734
CAN,USA,20714,52923564
USA,CAN,20714,72051045
CAN,USA,20752,276054
CAN,USA,20990,1373
USA,CAN,20990,187493
CAN,CAN,30221,140871
CAN,USA,30221,18614831
USA,CAN,30221,70805702
CAN,USA,30239,85620
USA,CAN,30239,16458
CAN,CAN,30247,31565
CAN,USA,30247,360155
USA,CAN,30247,14916847
CAN,USA,130213,981234
CAN,USA,150190,11976947
USA,CAN,150190,338950
CAN,CAN,150410,10
CAN,USA,150410,1287563
USA,CAN,150410,300882
CAN,USA,150810,93715
CAN,USA,10391,695358
USA,CAN,10391,240474287
USA,WLD,10619,25629724
CAN,WLD,20130,670202482
USA,WLD,20130,2045061391
CAN,WLD,20230,316588256
USA,WLD,20230,3011484279
CAN,WLD,20430,578315
USA,WLD,20430,13191755
CAN,WLD,20442,51118696
USA,WLD,20442,212899210
CAN,WLD,20712,661184
USA,WLD,20712,2137015
MEX,WLD,10619,5436351
MEX,WLD,20130,884878381
MEX,WLD,20230,37436820
MEX,WLD,20430,822036
MEX,WLD,20442,45276985
MEX,WLD,20712,7188721
MEX,WLD,10229,48784357
MEX,WLD,10620,562904
MEX,WLD,20120,27961445
MEX,WLD,20311,11382515
MEX,WLD,20649,146910118
MEX,WLD,20714,293048325
MEX,WLD,120729,27399576
CAN,WLD,20760,226365
USA,WLD,20760,44718
CAN,WLD,21020,152329
USA,WLD,21020,2423020
CAN,WLD,30213,22316901
USA,WLD,30213,85465423
CAN,WLD,30219,4021189
USA,WLD,120929,29167568
CAN,WLD,121294,51049
CAN,WLD,10229,15770023
USA,WLD,10229,2488917493
CAN,WLD,10599,83878
USA,WLD,10599,6641746
CAN,WLD,10620,948015
USA,WLD,10620,5669301
CAN,WLD,20120,103910317
USA,WLD,20120,348042018
CAN,WLD,20311,27226
CAN,WLD,20410,104659
USA,WLD,20410,2103
CAN,WLD,20649,10709042
USA,WLD,20649,27049935
CAN,WLD,20714,85014477
USA,WLD,20714,139763046
CAN,WLD,20752,276054
CAN,WLD,20990,36882
USA,WLD,20990,187493
CAN,MEX,120241,78
USA,MEX,120241,6756
CAN,MEX,120729,271
CAN,MEX,10619,68808
USA,MEX,10619,763229
CAN,MEX,20130,2063443
USA,MEX,20130,502489245
CAN,MEX,20230,741941
USA,MEX,20230,29387923
USA,MEX,21020,61920
CAN,MEX,120929,3542
CAN,USA,10614,199018
USA,CAN,10614,1870384
CAN,USA,20220,1921034
USA,CAN,20220,7057874
CAN,USA,20443,39473
CAN,USA,30219,3540504
USA,CAN,30219,220418
MEX,CAN,20649,32561988
MEX,USA,20649,109541238
MEX,USA,120729,27399576
MEX,USA,120929,38847000
MEX,USA,130213,25394436
MEX,CAN,10391,100164
MEX,USA,10391,3548
MEX,USA,10614,2613
MEX,CAN,20220,299169
MEX,USA,20220,4054121
MEX,USA,20441,2412426
MEX,USA,20443,3411
MEX,USA,20711,9251051
MEX,USA,150190,1859721
MEX,USA,150810,8627
MEX,USA,151229,15154452
MEX,CAN,151590,27616
MEX,USA,151590,3692078
MEX,CAN,160100,1822837
MEX,USA,160100,133633828
MEX,CAN,160241,344951
MEX,USA,160241,14546753
MEX,CAN,160432,150112
MEX,USA,160432,597505
MEX,CAN,170191,27859
MEX,USA,170191,920580
MEX,USA,170240,20274872
MEX,CAN,180631,664845
MEX,USA,180631,25549442
CAN,USA,30243,29218
USA,CAN,20443,117083
CAN,USA,20711,1383042
USA,CAN,20711,8980572
CAN,USA,20713,329917045
USA,CAN,20713,26998005
CAN,USA,20755,13692
CAN,USA,21019,19601307
USA,CAN,21019,22640987
USA,CAN,30211,6372865
CAN,USA,151229,10436255
CAN,CAN,151590,228367
CAN,USA,151590,11339062
USA,CAN,151590,12574833
USA,CAN,160100,16660881
CAN,CAN,160100,55392
CAN,USA,160100,194802734
CAN,USA,160241,44942772
USA,CAN,160241,40684381
CAN,USA,160432,432715
USA,CAN,160432,1345054
CAN,USA,160551,118993
USA,CAN,160551,22152
CAN,USA,160558,399
CAN,USA,170191,2568697
USA,CAN,170191,319466
CAN,USA,170240,6915621
USA,CAN,170240,32508427
CAN,WLD,30221,18912168
USA,WLD,30221,75110726
CAN,WLD,30239,733026
USA,WLD,30239,4111121
CAN,WLD,30247,1055423
USA,MEX,120929,417860
USA,MEX,10229,741208270
USA,MEX,10620,33750
CAN,MEX,20120,2860917
USA,MEX,20120,259066123
USA,MEX,30221,2087333
CAN,MEX,30247,490
USA,MEX,30247,3698908
CAN,CAN,180631,294503
CAN,USA,180631,64695641
USA,CAN,180631,123477878
CAN,CAN,190190,56078
CAN,CAN,30259,9142
MEX,USA,20714,206351719
MEX,USA,20990,118517
MEX,USA,30221,11084
USA,WLD,30247,69901525
USA,WLD,121294,127001
CAN,WLD,130213,1111210
USA,WLD,130213,5111990
CAN,WLD,150190,12471955
USA,WLD,150190,378335
CAN,WLD,150410,3594437
USA,WLD,150410,14563641
CAN,WLD,150810,404396
USA,WLD,150810,20918840
CAN,WLD,151229,10532970
CAN,WLD,10391,695358
USA,WLD,10391,240474287
CAN,WLD,10614,232196
USA,WLD,10614,1897280
CAN,WLD,20220,3932953
USA,WLD,20220,22781274
CAN,WLD,20441,324589
USA,WLD,20441,23001795
CAN,WLD,20443,33711262
USA,WLD,20443,87051759
USA,WLD,30219,694690
CAN,WLD,30243,159143
USA,WLD,30243,194801
MEX,WLD,120929,43401551
MEX,WLD,121294,733
MEX,WLD,130213,25541797
MEX,WLD,150190,1859721
MEX,WLD,10391,103712
MEX,WLD,10614,2613
MEX,WLD,20220,4762111
MEX,WLD,20441,2412487
MEX,WLD,20443,1818851
MEX,WLD,20711,9251051
MEX,WLD,20713,542121720
MEX,WLD,150410,451894
MEX,WLD,150810,8627
MEX,WLD,151229,15427492
MEX,WLD,151590,10607799
MEX,WLD,160100,140441487
MEX,WLD,160241,15284131
MEX,WLD,160432,1436103
MEX,WLD,160551,753430
MEX,WLD,160558,113843
MEX,WLD,170191,953066
MEX,WLD,170240,20375445
MEX,WLD,180631,42543204
MEX,WLD,20990,118517
MEX,WLD,30221,76400
MEX,WLD,30289,12500
MEX,WLD,30319,804325
CAN,WLD,20711,1383042
USA,WLD,20711,8980572
CAN,WLD,20713,329917045
USA,WLD,20713,26998005
CAN,WLD,20755,135863
CAN,WLD,21019,31628619
USA,WLD,21019,114099602
USA,WLD,30211,18847799
CAN,WLD,30211,2723108
USA,WLD,151229,10400964
CAN,WLD,151590,40585495
USA,WLD,151590,173546567
USA,WLD,160100,38456161
CAN,WLD,160100,197067400
CAN,WLD,160241,47962475
USA,WLD,160241,123799528
CAN,WLD,160432,2301896
USA,WLD,160432,11371885
CAN,WLD,160551,8394185
USA,WLD,160551,27758210
CAN,WLD,160558,2165240
USA,WLD,160558,4063332
CAN,WLD,170191,6180843
USA,WLD,170191,20909336
CAN,WLD,170240,6956294
MEX,USA,30289,12500
MEX,USA,30319,804267
MEX,USA,20713,542121720
MEX,CAN,21019,348503
MEX,USA,21019,6900015
MEX,USA,30211,1639
CAN,USA,30259,57392
USA,CAN,30259,1023489
CAN,CAN,30289,107752
CAN,USA,30289,22004722
USA,CAN,30289,28923547
CAN,USA,30319,87377
USA,CAN,30319,189157
CAN,CAN,30332,60954
USA,CAN,30332,203706
CAN,CAN,30341,63615
CAN,USA,30341,11831656
CAN,USA,30245,405601
USA,CAN,30245,17003
CAN,USA,30274,179452
CAN,USA,30211,1839177
CAN,CAN,30214,10219
CAN,USA,30214,37252642
USA,CAN,30214,323465096
CAN,USA,30242,6009132
CAN,USA,30281,507474
USA,CAN,30281,116667
CAN,USA,30244,1523512
USA,CAN,30244,93616
CAN,USA,30279,1055
CAN,USA,30282,782428
USA,CAN,30282,63675
CAN,USA,30326,68873
USA,CAN,30326,100250
CAN,CAN,30331,13297
USA,WLD,170240,33103913
CAN,WLD,180631,92045942
USA,WLD,180631,202205088
CAN,WLD,190190,142971818
CAN,WLD,30259,514787
USA,WLD,30259,1254484
CAN,WLD,30289,33271568
USA,WLD,30289,249410477
CAN,WLD,30319,90650
USA,WLD,30319,189157
CAN,WLD,30332,80489
USA,WLD,30332,589030
CAN,WLD,30341,12249329
CAN,WLD,30245,646192
USA,WLD,30245,11694693
CAN,WLD,30274,492421
USA,WLD,30274,103604
CAN,WLD,30214,69345323
USA,WLD,30214,677582760
CAN,WLD,30242,7689723
USA,WLD,30242,146734
CAN,WLD,30244,1626641
CAN,WLD,30281,594779
USA,WLD,30281,420321
CAN,WLD,30283,140568
USA,WLD,30283,3202943
CAN,WLD,30325,335629
USA,WLD,30244,760196
CAN,WLD,30279,985745
USA,WLD,30279,410276
CAN,WLD,30282,789893
USA,WLD,30282,80108
CAN,WLD,30326,753084
CAN,USA,190190,128282559
USA,CAN,190190,156776104
CAN,USA,30325,212
USA,CAN,30329,59775
USA,MEX,20220,12234313
CAN,MEX,21019,16421
USA,MEX,30211,27023
USA,MEX,151590,22186710
CAN,MEX,151590,5654016
USA,MEX,160100,4763962
USA,MEX,160241,323069
USA,MEX,160558,829341
CAN,MEX,170191,22870
USA,MEX,170191,11291614
USA,MEX,170240,8274
CAN,MEX,180631,13086024
USA,MEX,180631,3554905
CAN,MEX,190190,44154
USA,MEX,30259,198186
CAN,MEX,30289,2868974
USA,MEX,30289,66315525
CAN,MEX,30245,2886
USA,MEX,30245,146073
CAN,MEX,30242,77483
USA,MEX,30281,242334
CAN,MEX,30244,9066
USA,MEX,30244,8982
CAN,MEX,30279,327
USA,MEX,30279,405411
USA,MEX,30282,11604
USA,MEX,190190,20680029
CAN,MEX,190220,5
USA,MEX,190220,7397
USA,WLD,30326,3236415
CAN,WLD,30331,9565702
USA,WLD,190190,348933427
CAN,WLD,190220,55601829
USA,WLD,30325,526038
CAN,WLD,30329,455763
USA,WLD,30329,1047365
USA,WLD,190220,61605538
MEX,WLD,21019,20476326
MEX,WLD,30211,1639
MEX,WLD,30214,3281590
MEX,WLD,30326,14230
MEX,WLD,21020,261449
MEX,WLD,30213,17503
MEX,WLD,30219,278655
MEX,WLD,30281,415221
MEX,WLD,30329,18633
MEX,WLD,190190,143088714
MEX,WLD,190220,6229206
MEX,WLD,30341,3783
MEX,WLD,30351,444994
CAN,USA,190220,49109586
USA,CAN,190220,21329205
MEX,USA,21020,261449
